% Model:              h7-version2.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 15 2022, 17:24
% Table:              Eigenfrequencies (Study 1) - 
% a                                               lambda (Hz)                                       Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
0.6                                               18990.56243815706                                 119321.22288650498                                0                                                 Inf
0.6                                               29333.058978329293                                184305.04518727085                                0                                                 Inf
0.6                                               33574.50334991235                                 210954.8261440211                                 0                                                 Inf
0.6                                               34347.979805688665                                215814.72204640415                                0                                                 Inf
0.7000000000000001                                6.630236819891188E-4i                             0.004165900656986142i                             1                                                 0.5
0.7000000000000001                                0.0027771300095143234i                            0.017449222471907902i                             1                                                 0.5
0.7000000000000001                                0.004410163842737628i                             0.027709876658943727i                             1                                                 0.5
0.7000000000000001                                0.0019011040029984837                             0.011944988739060369                              0                                                 Inf
0.7000000000000001                                0.0035636812344317773                             0.022391269571653355                              0                                                 Inf
0.7000000000000001                                0.004588841296598425                              0.028832540211766147                              0                                                 Inf
0.7000000000000001                                4225.476938161299                                 26549.454613681257                                0                                                 Inf
0.7000000000000001                                7706.660284037014                                 48422.37466408582                                 0                                                 Inf
0.7000000000000001                                8106.908499502524                                 50937.208370723565                                0                                                 Inf
0.7000000000000001                                15903.287358916403                                99923.30146939839                                 0                                                 Inf
0.7000000000000001                                16356.82222937318                                 102772.94510374601                                0                                                 Inf
0.7000000000000001                                18569.017498858808                                116672.57791759029                                0                                                 Inf
0.7000000000000001                                29748.09849383641                                 186912.8153730041                                 0                                                 Inf
0.7000000000000001                                33701.670063170146                                211753.8381683248                                 0                                                 Inf
0.7000000000000001                                34813.40177839985                                 218739.0545469816                                 0                                                 Inf
0.8                                               0.005085885865815584i                             0.031955563346084806i                             1                                                 0.5
0.8                                               0.006489973027236623i                             0.04077770316872497i                              1                                                 0.5
0.8                                               0.0021222277181693135                             0.01333435001729069                               0                                                 Inf
0.8                                               0.00457545594963555                               0.02874843759639751                               0                                                 Inf
0.8                                               0.005134789499397064                              0.03226283393807166                               0                                                 Inf
0.8                                               0.005904339391458876                              0.03709805851301607                               0                                                 Inf
0.8                                               3394.273998271399                                 21326.85251448056                                 0                                                 Inf
0.8                                               7020.854815860134                                 44113.33182285343                                 0                                                 Inf
0.8                                               7337.633134510738                                 46103.70870023196                                 0                                                 Inf
0.8                                               14539.142710241746                                91352.12785597812                                 0                                                 Inf
0.8                                               15482.89802875308                                 97281.91740682113                                 0                                                 Inf
0.8                                               18050.747221682315                                113416.18972688707                                0                                                 Inf
0.8                                               30140.491955274756                                189378.29620454687                                0                                                 Inf
0.8                                               33852.48714939006                                 212701.44986853335                                0                                                 Inf
0.8                                               35358.904076476116                                222166.5465712871                                 0                                                 Inf
0.9                                               0.0027935476726536164i                            0.01755237769172293i                              1                                                 0.5
0.9                                               0.004872775107783626i                             0.030616548962416505i                             1                                                 0.5
0.9                                               0.005290467559867094i                             0.033240988040267164i                             1                                                 0.5
0.9                                               0.0032901087391661843                             0.020672362888952123                              0                                                 Inf
0.9                                               0.005090505800897982                              0.03198459125431465                               0                                                 Inf
0.9                                               0.0057267880004463565                             0.03598247022173691                               0                                                 Inf
0.9                                               2565.632238727031                                 16120.34278599595                                 0                                                 Inf
0.9                                               5841.537450609604                                 36703.46228100956                                 0                                                 Inf
0.9                                               6877.113487019142                                 43210.17841744524                                 0                                                 Inf
0.9                                               12935.93688522123                                 81278.8885718245                                  0                                                 Inf
0.9                                               14468.121863157616                                90905.89071307567                                 0                                                 Inf
0.9                                               17403.931217854904                                109352.12491519006                                0                                                 Inf
0.9                                               30558.195313491175                                192002.80380765183                                0                                                 Inf
0.9                                               34107.645569192246                                214304.65750283762                                0                                                 Inf
0.9                                               35981.79503741621                                 226080.2859050409                                 0                                                 Inf
1                                                 0.0033539985196344596i                            0.02107379421886932i                              1                                                 0.5
1                                                 0.003658912587468035i                             0.0229896258098336i                               1                                                 0.5
1                                                 0.004216338055036743                              0.02649203331750902                               0                                                 Inf
1                                                 0.0047882633527288                                0.03008554594477206                               0                                                 Inf
1                                                 0.006117092086187988                              0.03843482311860089                               0                                                 Inf
1                                                 0.006712087142434296                              0.042173287313852184                              0                                                 Inf
1                                                 1750.280426382985                                 10997.336258493593                                0                                                 Inf
1                                                 4559.189154424717                                 28646.230307733906                                0                                                 Inf
1                                                 6275.616469478116                                 39430.86119451913                                 0                                                 Inf
